token,folio_id,section_label,visual_category,line_global,line_in_folio,token_index_in_line,line_token_count,line_position,paragraph_initial,raw_line_tag
dar,f1v,herbal,herbal,32,5,4,9,line_medial,False,"f1v.5,+P0"
chey,f1v,herbal,herbal,32,5,5,9,line_medial,False,"f1v.5,+P0"
tody,f1v,herbal,herbal,32,5,6,9,line_medial,False,"f1v.5,+P0"
otoaiin,f1v,herbal,herbal,32,5,7,9,line_medial,False,"f1v.5,+P0"
shoshy,f1v,herbal,herbal,32,5,8,9,line_final,False,"f1v.5,+P0"
choky,f1v,herbal,herbal,33,6,0,10,line_initial,False,"f1v.6,+P0"
chol,f1v,herbal,herbal,33,6,1,10,line_medial,False,"f1v.6,+P0"
ctho,f1v,herbal,herbal,33,6,2,10,line_medial,False,"f1v.6,+P0"
shol,f1v,herbal,herbal,33,6,3,10,line_medial,False,"f1v.6,+P0"
okal,f1v,herbal,herbal,33,6,4,10,line_medial,False,"f1v.6,+P0"
dolchey,f1v,herbal,herbal,33,6,5,10,line_medial,False,"f1v.6,+P0"
chodo,f1v,herbal,herbal,33,6,6,10,line_medial,False,"f1v.6,+P0"
lol,f1v,herbal,herbal,33,6,7,10,line_medial,False,"f1v.6,+P0"
chy,f1v,herbal,herbal,33,6,8,10,line_medial,False,"f1v.6,+P0"
cthy,f1v,herbal,herbal,33,6,9,10,line_final,False,"f1v.6,+P0"
qo,f1v,herbal,herbal,34,7,0,12,line_initial,False,"f1v.7,+P0"
ol,f1v,herbal,herbal,34,7,1,12,line_medial,False,"f1v.7,+P0"
choees,f1v,herbal,herbal,34,7,2,12,line_medial,False,"f1v.7,+P0"
cheol,f1v,herbal,herbal,34,7,3,12,line_medial,False,"f1v.7,+P0"
dol,f1v,herbal,herbal,34,7,4,12,line_medial,False,"f1v.7,+P0"
cthey,f1v,herbal,herbal,34,7,5,12,line_medial,False,"f1v.7,+P0"
ykol,f1v,herbal,herbal,34,7,6,12,line_medial,False,"f1v.7,+P0"
dol,f1v,herbal,herbal,34,7,7,12,line_medial,False,"f1v.7,+P0"
dolo,f1v,herbal,herbal,34,7,8,12,line_medial,False,"f1v.7,+P0"
ykol,f1v,herbal,herbal,34,7,9,12,line_medial,False,"f1v.7,+P0"
do,f1v,herbal,herbal,34,7,10,12,line_medial,False,"f1v.7,+P0"
lchiody,f1v,herbal,herbal,34,7,11,12,line_final,False,"f1v.7,+P0"
okolshol,f1v,herbal,herbal,35,8,0,10,line_initial,False,"f1v.8,+P0"
kol,f1v,herbal,herbal,35,8,1,10,line_medial,False,"f1v.8,+P0"
kechy,f1v,herbal,herbal,35,8,2,10,line_medial,False,"f1v.8,+P0"
chol,f1v,herbal,herbal,35,8,3,10,line_medial,False,"f1v.8,+P0"
ky,f1v,herbal,herbal,35,8,4,10,line_medial,False,"f1v.8,+P0"
chol,f1v,herbal,herbal,35,8,5,10,line_medial,False,"f1v.8,+P0"
cthol,f1v,herbal,herbal,35,8,6,10,line_medial,False,"f1v.8,+P0"
chody,f1v,herbal,herbal,35,8,7,10,line_medial,False,"f1v.8,+P0"
chol,f1v,herbal,herbal,35,8,8,10,line_medial,False,"f1v.8,+P0"
daiin,f1v,herbal,herbal,35,8,9,10,line_final,False,"f1v.8,+P0"
shor,f1v,herbal,herbal,36,9,0,11,line_initial,False,"f1v.9,+P0"
okol,f1v,herbal,herbal,36,9,1,11,line_medial,False,"f1v.9,+P0"
chol,f1v,herbal,herbal,36,9,2,11,line_medial,False,"f1v.9,+P0"
dol,f1v,herbal,herbal,36,9,3,11,line_medial,False,"f1v.9,+P0"
ky,f1v,herbal,herbal,36,9,4,11,line_medial,False,"f1v.9,+P0"
dar,f1v,herbal,herbal,36,9,5,11,line_medial,False,"f1v.9,+P0"
shol,f1v,herbal,herbal,36,9,6,11,line_medial,False,"f1v.9,+P0"
dchor,f1v,herbal,herbal,36,9,7,11,line_medial,False,"f1v.9,+P0"
tcho,f1v,herbal,herbal,36,9,8,11,line_medial,False,"f1v.9,+P0"
dar,f1v,herbal,herbal,36,9,9,11,line_medial,False,"f1v.9,+P0"
ody,f1v,herbal,herbal,36,9,10,11,line_final,False,"f1v.9,+P0"
taor,f1v,herbal,herbal,37,10,0,7,line_initial,False,"f1v.10,+P0"
chotchey,f1v,herbal,herbal,37,10,1,7,line_medial,False,"f1v.10,+P0"
dal,f1v,herbal,herbal,37,10,2,7,line_medial,False,"f1v.10,+P0"
chody,f1v,herbal,herbal,37,10,3,7,line_medial,False,"f1v.10,+P0"
schody,f1v,herbal,herbal,37,10,4,7,line_medial,False,"f1v.10,+P0"
pol,f1v,herbal,herbal,37,10,5,7,line_medial,False,"f1v.10,+P0"
chodar,f1v,herbal,herbal,37,10,6,7,line_final,False,"f1v.10,+P0"
kydainy,f2r,herbal,herbal,38,1,0,6,line_initial,True,"f2r.1,@P0"
ypchol,f2r,herbal,herbal,38,1,1,6,line_medial,False,"f2r.1,@P0"
daiin,f2r,herbal,herbal,38,1,2,6,line_medial,False,"f2r.1,@P0"
otchal,f2r,herbal,herbal,38,1,3,6,line_medial,False,"f2r.1,@P0"
ypchaiin,f2r,herbal,herbal,38,1,4,6,line_medial,False,"f2r.1,@P0"
ckholsy,f2r,herbal,herbal,38,1,5,6,line_final,False,"f2r.1,@P0"
dorchory,f2r,herbal,herbal,39,2,0,4,line_initial,False,"f2r.2,+P0"
chkar,f2r,herbal,herbal,39,2,1,4,line_medial,False,"f2r.2,+P0"
shor,f2r,herbal,herbal,39,2,2,4,line_medial,False,"f2r.2,+P0"
cthy,f2r,herbal,herbal,39,2,3,4,line_final,False,"f2r.2,+P0"
qotaiin,f2r,herbal,herbal,40,3,0,6,line_initial,False,"f2r.3,+P0"
cthey,f2r,herbal,herbal,40,3,1,6,line_medial,False,"f2r.3,+P0"
chor,f2r,herbal,herbal,40,3,2,6,line_medial,False,"f2r.3,+P0"
chy,f2r,herbal,herbal,40,3,3,6,line_medial,False,"f2r.3,+P0"
ydy,f2r,herbal,herbal,40,3,4,6,line_medial,False,"f2r.3,+P0"
chaiin,f2r,herbal,herbal,40,3,5,6,line_final,False,"f2r.3,+P0"
aiidy,f2r,herbal,herbal,41,4,0,6,line_initial,False,"f2r.4,+P0"
chtod,f2r,herbal,herbal,41,4,1,6,line_medial,False,"f2r.4,+P0"
dy,f2r,herbal,herbal,41,4,2,6,line_medial,False,"f2r.4,+P0"
cphy,f2r,herbal,herbal,41,4,3,6,line_medial,False,"f2r.4,+P0"
dals,f2r,herbal,herbal,41,4,4,6,line_medial,False,"f2r.4,+P0"
chokaiin,f2r,herbal,herbal,41,4,5,6,line_final,False,"f2r.4,+P0"
otochor,f2r,herbal,herbal,42,5,0,7,line_initial,False,"f2r.5,+P0"
al,f2r,herbal,herbal,42,5,1,7,line_medial,False,"f2r.5,+P0"
shodaiin,f2r,herbal,herbal,42,5,2,7,line_medial,False,"f2r.5,+P0"
chol,f2r,herbal,herbal,42,5,3,7,line_medial,False,"f2r.5,+P0"
dan,f2r,herbal,herbal,42,5,4,7,line_medial,False,"f2r.5,+P0"
