boundary_after_previous_folio,boundary_before_folio,previous_section,current_section,adjacent_distance,conventional_section_boundary,window_3_distance,window_5_distance,window_7_distance,combined_change_point_score
f58r,f58v,unknown,unknown,1.644042801782687,False,5.009092538611497,2.709260860915237,1.8318238156794409,2.7985550042472154
f58v,f65r,unknown,herbal,15.531011837872587,True,5.996522031487825,3.3485223193830307,2.461191233346895,6.834311855522584
f65r,f65v,herbal,herbal,12.523581377872857,False,3.951061680359027,2.5212825674841013,1.9585111130609691,5.238609184694238
f65v,f66r,herbal,unknown,4.3571581165929745,True,5.18920998873888,3.086255014406102,2.315669238193671,3.737073089482907
f66r,f66v,unknown,herbal,2.348169096518485,True,5.0069524773876095,2.5801059667443216,2.170444120227512,3.026417915219482
f66v,f67r1,herbal,astronomical_zodiac,2.1950667072861876,True,1.3047264928766604,3.008364686582378,2.583476444436559,2.2729085827954463
f67r1,f67r2,astronomical_zodiac,astronomical_zodiac,1.350676663757607,False,1.9158621233607809,3.093486317239554,2.5211568714466206,2.2202954939511406
f67r2,f67v1,astronomical_zodiac,astronomical_zodiac,3.6320030655915225,False,2.880461863876075,2.5498011721796443,2.7431818282860676,2.9513619824833275
f67v1,f67v2,astronomical_zodiac,cosmological,3.0029250105710994,True,1.9207900694130273,1.6839085451984668,2.1613420086189823,2.1922414084503936
f67v2,f68r1,cosmological,astronomical_zodiac,4.119003699790136,True,1.9914441595538146,1.4126173532122266,0.8093856198107706,2.083112708091737
f68r1,f68r2,astronomical_zodiac,astronomical_zodiac,1.6443816683236767,False,1.8912276282908689,0.6783630043001837,0.564932608097674,1.1947262272531007
f68r2,f68r3,astronomical_zodiac,astronomical_zodiac,1.3733000670705349,False,1.7273273916080392,1.7542376055459368,1.2467702851400808,1.5254088373411478
f68r3,f68v1,astronomical_zodiac,astronomical_zodiac,3.99852679572049,False,2.670556620532445,2.694131438332577,2.0292259625268336,2.848110204278086
f68v1,f68v2,astronomical_zodiac,astronomical_zodiac,5.822547541198026,False,2.555568011789254,2.2702040638728325,1.893872368600941,3.1355479963652635
f68v2,f68v3,astronomical_zodiac,cosmological,3.3373196172490074,True,2.2393436734888126,2.7451740623624343,2.399423272502533,2.6803151564006966
f68v3,f69r,cosmological,cosmological,1.6540023244982278,False,1.5107590452716044,1.5997516849702147,1.5727418876358739,1.58431373559398
f69r,f69v,cosmological,cosmological,2.2931875612013655,False,1.6926615106810783,0.6793541029858441,1.226123111940511,1.4728315717021996
f69v,f70r1,cosmological,cosmological,2.2679599139133453,False,1.1156408998545473,0.8568944610966197,0.7921310605875865,1.2581565838630249
f70r1,f70r2,cosmological,cosmological,3.8623649910633615,False,1.7264519657857746,1.4399673041240837,0.909178137124032,1.984490599524313
