iteration,section_label,sample_size,H_suffix_given_core,suffix_top1
72,biological_balneological,846,0.277455956327203,0.9282511210762332
72,cosmological,846,0.6865014530525245,0.8009404388714734
72,pharmaceutical,846,0.7320017453625841,0.7826704545454546
72,recipes_stars,846,0.572770253926789,0.8450704225352113
73,herbal,846,0.6983004189550764,0.7937219730941704
73,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
73,biological_balneological,846,0.28049738296844584,0.9161764705882353
73,cosmological,846,0.6693681291320475,0.8184568835098336
73,pharmaceutical,846,0.7202022174680757,0.7925608011444921
73,recipes_stars,846,0.513974957467972,0.8476190476190476
74,herbal,846,0.6420165170679826,0.8032544378698225
74,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
74,biological_balneological,846,0.23339533961370676,0.9264705882352942
74,cosmological,846,0.6687766931475757,0.808641975308642
74,pharmaceutical,846,0.7699248770901017,0.7777777777777778
74,recipes_stars,846,0.5131721966579502,0.8589211618257261
75,herbal,846,0.6513441893179527,0.815592203898051
75,astronomical_zodiac,846,0.6925740404555192,0.7965616045845272
75,biological_balneological,846,0.24706859142829093,0.9274310595065312
75,cosmological,846,0.7220710982283967,0.7836166924265843
75,pharmaceutical,846,0.704977842690109,0.7932011331444759
75,recipes_stars,846,0.518308756472484,0.861878453038674
76,herbal,846,0.6931029806662278,0.7927927927927928
76,astronomical_zodiac,846,0.6925740404555191,0.7965616045845272
76,biological_balneological,846,0.26226542436109657,0.9267563527653214
76,cosmological,846,0.7236729915569162,0.7888198757763976
76,pharmaceutical,846,0.6957685014641355,0.7911931818181818
76,recipes_stars,846,0.5646091260182186,0.8390313390313391
77,herbal,846,0.6502331354543094,0.8125937031484258
77,astronomical_zodiac,846,0.692574040455519,0.7965616045845272
77,biological_balneological,846,0.27671010257264755,0.9239940387481371
77,cosmological,846,0.6866365808821463,0.8036253776435045
77,pharmaceutical,846,0.7618068597058283,0.7883008356545961
77,recipes_stars,846,0.5325882768686607,0.8394062078272605
78,herbal,846,0.6095083163883924,0.8098159509202454
78,astronomical_zodiac,846,0.6925740404555194,0.7965616045845272
78,biological_balneological,846,0.2982288649836818,0.9190404797601199
78,cosmological,846,0.6779650027087132,0.797583081570997
78,pharmaceutical,846,0.7623103821599265,0.7838983050847458
78,recipes_stars,846,0.4578154636883313,0.871866295264624
79,herbal,846,0.6071891569889392,0.8103932584269663
79,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
79,biological_balneological,846,0.30286656381045934,0.9154518950437318
79,cosmological,846,0.6822489760091754,0.7967599410898379
79,pharmaceutical,846,0.6558443053990327,0.8052325581395349
79,recipes_stars,846,0.5971386466479691,0.8236092265943012
80,herbal,846,0.6537469334982151,0.8044776119402985
80,astronomical_zodiac,846,0.6925740404555193,0.7965616045845272
80,biological_balneological,846,0.3114851439336156,0.9097525473071325
