token_count,type_token_ratio,mean_token_length,median_token_length,token_entropy,normalized_token_entropy,zipf_slope,prefix_entropy,core_entropy,suffix_entropy,H_suffix_given_core,H_core_given_prefix,MI_core_suffix,suffix_from_core_top1,suffix_from_core_top3,top_token_family_concentration,pcs_valid_count,line_initial_concentration_score,line_final_concentration_score,bigram_entropy,line_internal_shuffled_bigram_entropy,ordering_contribution,same_core_clustering_ratio,same_prefix_core_clustering_ratio,folio_id,section_label,folio_order_n
105,0.7142857142857143,4.704761904761905,5.0,5.930260657556586,0.9520682736527805,-0.42068413793634446,4.317076622425279,4.617831190726156,2.1131488036830732,0.21919717623215967,1.1237294884882436,1.8939516274509127,0.9146341463414634,1.0,0.10476190476190476,82,0.02499356876884673,0.010702744148230137,6.523561956057027,6.5105184777961576,-0.013043478260869712,1.2435450104675507,1.008495145631068,f22r,herbal,220
74,0.8108108108108109,5.0,5.0,5.700649521650532,0.9650846633063905,-0.3129335740195338,3.9764051227330697,4.698782503754134,2.115850039410551,0.13277028534286156,1.371486158633461,1.9830797540676903,0.9523809523809523,1.0,0.0945945945945946,63,0.0,0.02745617182606319,5.85798099512757,5.855222374437915,-0.0027586206896552667,0.8713450292397661,0.8167623114907245,f22v,herbal,221
99,0.7575757575757576,4.555555555555555,5.0,6.025574423000655,0.9673703349552714,-0.3865887200517823,3.73985414049577,4.5929679455821,2.525160031338697,0.4720568451486747,1.68347253224383,2.0531031861900226,0.8382352941176471,1.0,0.06060606060606061,68,-2.220446049250313e-16,0.023385331327286485,6.459431618637305,6.456704345910033,-0.002727272727272023,0.7811411733190464,0.8081453748516116,f23r,herbal,230
89,0.797752808988764,4.46067415730337,4.0,6.008209380691834,0.9769847871688995,-0.32723806398624034,3.7271984258389175,4.831876811588909,2.6178762469926635,0.31789525717010775,1.6605556994066073,2.299980989822556,0.8709677419354839,1.0,0.056179775280898875,62,0.011890908425879476,0.0,6.266786540694905,6.261591735500099,-0.005194805194805419,0.9485491343574736,0.7856746252082176,f23v,herbal,231
102,0.803921568627451,4.303921568627451,4.0,6.226251077223195,0.9793472507500509,-0.322757314387483,3.3866053466680808,4.6142099819690925,2.814185688307443,0.8433651777093912,2.047974949089874,1.9708205105980527,0.7,0.9857142857142858,0.0392156862745098,70,0.006120494870484938,0.028954070055202896,6.357552004618087,6.354137370471745,-0.0034146341463419105,1.0108616944243298,1.139578923916676,f24r,herbal,240
81,0.9135802469135802,4.691358024691358,4.0,6.1423191386870855,0.9891883837451021,-0.17415976346472747,4.197843842812988,4.411891327438785,3.005830969902346,0.9695666764266888,1.4723260083087781,2.0362642934756567,0.6935483870967742,0.9516129032258065,0.04938271604938271,62,0.0,0.0,6.022367813028458,6.018060120720765,-0.00430769230769279,0.9959285937989351,1.4177407126611068,f24v,herbal,241
45,0.8666666666666667,5.444444444444445,5.0,5.144972196897746,0.9734305893573542,-0.24076835658558338,3.3257163090882544,4.5250705203641814,1.7608950532757257,0.1688721875540867,1.6059707739381877,1.5920228657216393,0.925,1.0,0.1111111111111111,40,0.0,0.0,5.247927513443589,5.242664355548852,-0.005263157894736636,0.5802707930367506,0.6166495375128469,f25r,herbal,250
54,0.7592592592592593,5.092592592592593,5.0,4.939077357626242,0.9218906980966071,-0.3345257138186314,3.2446249553410516,4.08800502335692,2.2471137970331228,0.14143395503556178,1.268255967543951,2.105679841997561,0.9555555555555556,1.0,0.2037037037037037,45,0.0,0.02449624099389136,5.55458885167764,5.516274341031979,-0.03831451064566149,0.8157276995305165,0.853658536585366,f25v,herbal,251
82,0.7439024390243902,5.134146341463414,5.0,5.686581882561333,0.958832192170243,-0.406994361596994,4.101912752301392,4.8215507130659185,1.6761944143991103,0.029850746268656716,1.262392109669008,1.6463436681304544,0.9850746268656716,1.0,0.07317073170731707,67,0.0,0.015141338212453448,6.14214722366454,6.156591668108985,0.014444444444444926,0.9631867359842629,0.7681189345447037,f26r,herbal,260
88,0.8409090909090909,5.068181818181818,5.0,6.092787726518095,0.9812116087775726,-0.28103075598415017,4.03785765573206,5.1378521271064415,1.6796949767793916,0.17109897254346662,1.8469715263467188,1.508596004235925,0.9315068493150684,1.0,0.045454545454545456,73,0.0,0.0,6.303780748177105,6.301249102607486,-0.0025316455696184903,0.610847814639284,0.8270158511371469,f26v,herbal,261
89,0.6741573033707865,4.134831460674158,4.0,5.5762069544386526,0.9440173072757242,-0.4919346774644121,2.9862519280439446,3.9941029646557413,2.6064923229971346,0.621484983478056,1.858127683840129,1.9850073395190782,0.8225806451612904,0.9838709677419355,0.07865168539325842,62,0.010702744148230137,0.010702744148230137,6.247927513443591,6.207986871993377,-0.039940641450214365,1.0751445086705205,1.1716287215411558,f27r,herbal,270
60,0.8666666666666667,4.6,4.0,5.627642470572459,0.9872295382166814,-0.24409779144756324,3.5566412910715814,4.386266142526534,2.2214310825777335,0.5216958736905276,1.4593863501946491,1.6997352088872053,0.8181818181818182,1.0,0.05,44,0.0,0.0,5.700439718141095,5.695055102756479,-0.005384615384616431,0.9344938158497481,0.9751098096632504,f27v,herbal,271
